L 1/2x1/8;1/2;1/8;0,55;12,7;3,17;0,7;0,1;0,11;0,37;0,25;0,43
L 5/8x1/8;5/8;1/8;0,71;15,88;3,17;0,9;0,2;0,19;0,47;0,32;0,51
L 3/4x1/8;3/4;1/8;0,87;19,05;3,17;1,11;0,36;0,27;0,57;0,38;0,59
L 7/8x1/8;7/8;1/8;1,04;22,2;3,17;1,32;0,58;0,38;0,66;0,46;0,66
L 1x1/8;1;1/8;1,19;25,4;3,17;1,48;0,83;0,49;0,79;0,48;0,76
L 1x3/16;1;3/16;1,73;25,4;4,76;2,19;1,25;0,66;0,76;0,48;0,81
L 1x1/4;1;1/4;2,22;25,4;6,35;2,84;1,66;0,98;0,76;0,48;0,86
L 1.1/4x1/8;1.1/4;1/8;1,5;31,75;3,17;1,93;1,67;0,82;0,97;0,64;0,89
L 1.1/4x3/16;1.1/4;3/16;2,2;31,75;4,76;2,77;2,5;1,15;0,97;0,61;0,97
L 1.1/4x1/4;1.1/4;1/4;2,86;31,75;6,35;3,62;3,33;1,47;0,94;0,61;1,02
L 1.1/2x1/8;1.1/2;1/8;1,83;38,1;3,17;2,32;3,33;1,15;1,17;0,76;1,07
L 1.1/2x3/16;1.1/2;3/16;2,68;38,1;4,76;3,42;4,58;1,64;1,17;0,74;1,12
L 1.1/2x1/4;1.1/2;1/4;3,48;38,1;6,35;4,45;5,83;2,13;1,15;0,74;1,19
L 1.3/4x1/8;1.3/4;1/8;2,14;44,45;3,17;2,71;5,41;1,64;1,4;0,89;1,22
L 1.3/4x3/16;1.3/4;3/16;3,15;44,45;4,76;4;7,5;2,3;1,37;0,89;1,3
L 1.3/4x1/4;1.3/4;1/4;4,12;44,45;6,35;5,22;9,57;3,13;1,35;0,86;1,35
L 2x1/8;2;1/8;2,46;50,8;3,17;3,1;7,91;2,13;1,6;1,02;1,4
L 2x3/16;2;3/16;3,63;50,8;4,76;4,58;11,7;3,13;1,58;1,02;1,45
L 2x1/4;2;1/4;4,74;50,8;6,35;6,06;14,6;4,1;1,55;0,99;1,5
L 2x5/16;2;5/16;5,83;50,8;7,94;7,42;17,5;4,91;1,53;0,99;1,55
L 2x3/8;2;3/8;6,99;50,8;9,52;8,76;20;5,73;1,5;0,99;1,63
L 2.1/2x3/16;2.1/2;3/16;4,57;63,5;4,76;5,8;23;4,91;1,98;1,24;1,75
L 2.1/2x1/4;2.1/2;1/4;6,1;63,5;6,35;7,67;29;6,4;1,96;1,24;1,83
L 2.1/2x5/16;2.1/2;5/16;7,44;63,5;7,94;9,48;35;7,87;1,93;1,24;1,88
L 2.1/2x3/8;2.1/2;3/8;8,78;63,5;9,52;11,16;41;9,35;1,91;1,22;1,93
L 3x3/16;3;3/16;5,52;76,2;4,76;7,03;40;7,21;2,39;1,5;2,08
L 3x1/4;3;1/4;7,29;76,2;6,35;9,29;50;9,5;2,36;1,5;2,13
L 3x5/16;3;5/16;9,07;76,2;7,94;11,48;62;11,6;2,34;1,5;2,21
L 3x3/8;3;3/8;10,71;76,2;9,52;13,61;75;13,6;2,31;1,47;2,26
L 3x1/2;3;1/2;14;76,2;12,7;17,74;91;18;2,29;1,47;2,36
L 3.1/2x1/4;3.1/2;1/4;8,56;88,9;6,35;10,9;83,7;13;2,77;1,76;2,46
L 3.1/2x5/16;3.1/2;5/16;10,59;88,9;7,94;13,5;102;16;2,75;1,75;2,52
L 3.1/2x3/8;3.1/2;3/8;12,58;88,9;9,52;16;121;19,2;2,75;1,75;2,58
L 4x1/4;4;1/4;9,81;101,6;6,35;12,51;125;16,4;3,17;2;2,77
L 4x5/16;4;5/16;12,19;101,6;7,94;15,48;154;21,3;3,15;2;2,84
L 4x3/8;4;3/8;14,57;101,6;9,53;18,45;183;24,6;3,12;2;2,9
L 4x1/2;4;1/2;19,03;101,6;12,7;24,19;233;32,8;3,1;1,98;3
L 5x1/4;5;1/4;12,34;127;6,35;15,73;251,63;27,09;4;2,53;3,41
L 5x5/16;5;5/16;15,31;127;7,94;19,5;308;33,4;3,97;2,53;3,47
L 5x3/8;5;3/8;18,3;127;9,52;23,29;362;39,5;3,94;2,51;3,53
L 5x1/2;5;1/2;24,1;127;12,7;30,64;470;52,5;3,91;2,49;3,63
L 5x5/8;5;5/8;29,8;127;15,88;37,8;566;64;3,86;2,46;3,76
L 6x3/8;6;3/8;22,2;152,4;9,52;28,1;641;57,4;4,78;3,02;4,17
L 6x1/2;6;1/2;29,2;152,4;12,7;37,09;828;75,4;4,72;3;4,27
L 6x5/8;6;5/8;36;152,4;15,88;45,86;1007;93,5;4,67;2,97;4,39
L 6x3/4;6;3/4;42,7;152,4;19,05;54,44;1173;109,9;4,65;2,97;4,52
L 8x5/8;8;5/8;48,7;203,2;15,88;62,9;2472,4;168,9;6,31;4,01;5,66
L 8x3/4;8;3/4;57,9;203,2;19,05;73,81;2901,1;199,9;6,27;3,99;5,79
